trade_date,spvxtstr,spvxtstr_return,spvxtstr_index
2017-12-15,262956.3000000000,0.0005330722,2.6064412596
2017-12-18,259896.9000000000,-0.0116346328,2.5761162725
2017-12-19,259204.2000000000,-0.0026652877,2.5692501816
2017-12-20,258662.4000000000,-0.0020902439,2.5638798221
2017-12-21,257932.9000000000,-0.0028202785,2.5566489670
2017-12-22,255323.4000000000,-0.0101169723,2.5307834203
2017-12-26,254606.5000000000,-0.0028078116,2.5236774573
2017-12-27,253305.3000000000,-0.0051106315,2.5107798718
2017-12-28,254245.3000000000,0.0037109370,2.5200972176
2017-12-29,253156.3000000000,-0.0042832650,2.5093029733
2018-01-02,253475.7000000000,0.0012616711,2.5124688885
2018-01-03,251897.9000000000,-0.0062246598,2.4968296244
2018-01-04,253623.6000000000,0.0068507915,2.5139348836
2018-01-05,252645.8000000000,-0.0038553195,2.5042428616
2018-01-08,252485.5000000000,-0.0006344851,2.5026539567
2018-01-09,250544.2000000000,-0.0076887584,2.4834116552
2018-01-10,250038.3000000000,-0.0020192046,2.4783971390
2018-01-11,248212.8000000000,-0.0073008815,2.4603026551
2018-01-12,246841.4000000000,-0.0055250978,2.4467092423
2018-01-16,248896.6000000000,0.0083259939,2.4670805286
2018-01-17,246657.7000000000,-0.0089953017,2.4448883950
2018-01-18,248170.8000000000,0.0061344122,2.4598863482
2018-01-19,248692.8000000000,0.0021033901,2.4650604488
2018-01-22,247365.6000000000,-0.0053367046,2.4519051494
2018-01-23,249560.1000000000,0.0088714842,2.4736571871
2018-01-24,250655.5000000000,0.0043893235,2.4845148686
2018-01-25,251056.5000000000,0.0015998053,2.4884896087
2018-01-26,250127.8000000000,-0.0036991673,2.4792842692
2018-01-29,246208.5000000000,-0.0156691899,2.4404358932
2018-01-30,245832.8000000000,-0.0015259424,2.4367119285
2018-01-31,245644.6000000000,-0.0007655610,2.4348464769
2018-02-01,245567.8000000000,-0.0003126468,2.4340852299
2018-02-02,239275.6000000000,-0.0256230662,2.3717165029
2018-02-05,187839.8000000000,-0.2149646684,1.8618812514
2018-02-06,201755.3000000000,0.0740817441,1.9998126619
2018-02-07,200413.3000000000,-0.0066516220,1.9865106639
2018-02-08,199133.2000000000,-0.0063873006,1.9738222231
2018-02-09,191629.6000000000,-0.0376813108,1.8994460144
2018-02-12,197222.6000000000,0.0291865140,1.9548842221
2018-02-13,199371.4000000000,0.0108953031,1.9761832781
2018-02-14,204070.8000000000,0.0235710839,2.0227640600
2018-02-15,201317.8000000000,-0.0134904161,1.9954761312
2018-02-16,200364.6000000000,-0.0047348024,1.9860279461
2018-02-20,199351.0000000000,-0.0050587778,1.9759810719
2018-02-21,201284.5000000000,0.0096989732,1.9951460593
2018-02-22,199973.3000000000,-0.0065141628,1.9821493531
2018-02-23,200052.4000000000,0.0003955528,1.9829333978
2018-02-26,199605.3000000000,-0.0022349145,1.9785017113
2018-02-27,198597.8000000000,-0.0050474612,1.9685153008
2018-02-28,198401.2000000000,-0.0009899405,1.9665665878
2018-03-01,199320.0000000000,0.0046310204,1.9756737977
2018-03-02,201343.2000000000,0.0101505117,1.9957278978
2018-03-05,200519.5000000000,-0.0040910247,1.9875633257
2018-03-06,202500.5000000000,0.0098793384,2.0071991365
2018-03-07,204523.4000000000,0.0099896050,2.0272502629
2018-03-08,206005.0000000000,0.0072441589,2.0419359859
2018-03-09,205522.1000000000,-0.0023441179,2.0371494473
2018-03-12,205677.0000000000,0.0007536902,2.0386848269
2018-03-13,205554.4000000000,-0.0005960803,2.0374696071
2018-03-14,205963.7000000000,0.0019912004,2.0415266174
2018-03-15,206314.4000000000,0.0017027272,2.0450027803
2018-03-16,205539.7000000000,-0.0037549488,2.0373238997
2018-03-19,201879.1000000000,-0.0178096981,2.0010397761
2018-03-20,204102.9000000000,0.0110155038,2.0230822375
2018-03-21,203928.7000000000,-0.0008534911,2.0213555549
2018-03-22,197405.9000000000,-0.0319856891,1.9567011045
2018-03-23,198543.6000000000,0.0057632523,1.9679780666
2018-03-26,199477.2000000000,0.0047022417,1.9772319751
2018-03-27,201667.0000000000,0.0109776957,1.9989374261
2018-03-28,202853.5000000000,0.0058834613,2.0106980972
2018-03-29,202752.0000000000,-0.0005003611,2.0096920221
2018-04-02,200673.4000000000,-0.0102519334,1.9890887933
2018-04-03,202014.7000000000,0.0066839950,2.0023838528
2018-04-04,202261.1000000000,0.0012197132,2.0048261869
2018-04-05,203678.1000000000,0.0070057960,2.0188715901
2018-04-06,203670.9000000000,-0.0000353499,2.0188002232
2018-04-09,203316.9000000000,-0.0017380981,2.0152913504
2018-04-10,203638.4000000000,0.0015812753,2.0184780809
2018-04-11,206051.9000000000,0.0118518904,2.0424008620
2018-04-12,204903.9000000000,-0.0055714119,2.0310218056
2018-04-13,205318.1000000000,0.0020214354,2.0351273850
2018-04-16,206125.1000000000,0.0039304864,2.0431264255
2018-04-17,207078.7000000000,0.0046263167,2.0525785755
2018-04-18,203607.5000000000,-0.0167627091,2.0181717980
2018-04-19,203157.4000000000,-0.0022106258,2.0137103753
2018-04-20,202211.6000000000,-0.0046555036,2.0043355394
2018-04-23,202412.1000000000,0.0009915356,2.0063229095
2018-04-24,198802.0000000000,-0.0178353962,1.9705393455
2018-04-25,201199.1000000000,0.0120577258,1.9942995685
2018-04-26,201009.7000000000,-0.0009413561,1.9924222225
2018-04-27,202674.3000000000,0.0082811924,2.0089218542
2018-04-30,202297.1000000000,-0.0018611141,2.0051830214
2018-05-01,200759.0000000000,-0.0076031737,1.9899372665
2018-05-02,201402.9000000000,0.0032073282,1.9963196484
2018-05-03,200675.3000000000,-0.0036126590,1.9891076262
2018-05-04,200816.7000000000,0.0007046208,1.9905091929
2018-05-07,201757.9000000000,0.0046868612,1.9998384333
2018-05-08,201544.9000000000,-0.0010557207,1.9977271623
2018-05-09,201958.8000000000,0.0020536367,2.0018297681
2018-05-10,200505.0000000000,-0.0071984979,1.9874196007
2018-05-11,200267.8000000000,-0.0011830129,1.9850684577
2018-05-14,199018.9000000000,-0.0062361498,1.9726892735
2018-05-15,199707.3000000000,0.0034589680,1.9795127425
2018-05-16,200395.6000000000,0.0034465440,1.9863352203
2018-05-17,200830.6000000000,0.0021707063,1.9906469707
2018-05-18,201658.2000000000,0.0041208860,1.9988501999
2018-05-21,199764.4000000000,-0.0093911381,1.9800787217
2018-05-22,201129.4000000000,0.0068330493,1.9936086972
2018-05-23,200988.0000000000,-0.0007030300,1.9922071305
2018-05-24,201385.7000000000,0.0019787251,1.9961491608
2018-05-25,200792.5000000000,-0.0029455915,1.9902693209
2018-05-29,193751.9000000000,-0.0350640587,1.9204824006
2018-05-30,198988.5000000000,0.0270273479,1.9723879465
2018-05-31,199250.8000000000,0.0013181666,1.9749878825
2018-06-01,199547.7000000000,0.0014900818,1.9779307761
2018-06-04,198574.8000000000,-0.0048755260,1.9682873232
2018-06-05,197787.2000000000,-0.0039662636,1.9604805768
2018-06-06,197955.2000000000,0.0008493977,1.9621458046
2018-06-07,198395.6000000000,0.0022247458,1.9665110802
2018-06-08,197982.7000000000,-0.0020811953,1.9624183865
2018-06-11,199620.0000000000,0.0082699145,1.9786474187
2018-06-12,200243.5000000000,0.0031234345,1.9848275944
2018-06-13,200180.9000000000,-0.0003126194,1.9842070988
2018-06-14,200821.5000000000,0.0032001055,1.9905567709
2018-06-15,200216.8000000000,-0.0030111318,1.9845629421
2018-06-18,198921.4000000000,-0.0064699865,1.9717228466
2018-06-19,198857.6000000000,-0.0003207297,1.9710904566
2018-06-20,200343.9000000000,0.0074741926,1.9858227662
2018-06-21,198019.2000000000,-0.0116035477,1.9627801770
